country_name,Average_GDP,Average_GDP_Growth(%),Average_Exports,Average_Imports,Average_Trade_Balance(USD),Average_Trade_to_GDP(%),Log_GDP,Log_Trade
Afghanistan,14151970481,3.51503202,0,0,0,0,23.26229849,0
Albania,11262654750,8.145169955,3178483502,5287413230,-2108929728,73.82718864,23.05410985,22.74720402
Algeria,1.44E+11,6.505825409,47802180220,41904046962,5898133257,62.37874562,25.61373039,25.13417564
American Samoa,601100000,0.349124547,453521086.2,631880445.6,-178359359.3,183.0108818,20.2079365,20.80171344
Andorra,3029495937,4.348425498,0,0,0,0,21.79999279,0
Angola,67423312087,15.50615872,34635033067,24065864912,10569168155,92.77080135,24.69580513,24.57309468
Antigua and Barbuda,1238369082,3.605207826,974550937.4,901189557.4,73361379.96,154.0261888,20.9113717,21.33386508
Argentina,4.00E+11,6.648824416,65908338050,59183760509,6724577541,32.82336906,26.60251433,25.46847811
Armenia,9176260685,5.91280515,2779521168,4224600870,-1445079702,74.0509446,22.76851487,22.45642037
Aruba,2618521874,1.859635143,1798040447,1942782946,-144742498.9,142.4607991,21.67273852,22.0241943
Australia,1.08E+12,6.927798132,2.32E+11,2.28E+11,3671402465,42.09156597,27.61333587,26.74674288
Austria,3.75E+11,4.169336724,1.96E+11,1.85E+11,11341828163,99.63447496,26.61951075,26.61189507
Azerbaijan,40646607954,7.52379546,20875874539,12562253065,8313621474,87.16715294,24.13114531,23.98176241
"Bahamas, The",10544578261,2.365476231,3780843478,4393330435,-612486956.5,77.52247108,23.07016484,22.81078708
Bahrain,26148142889,7.538654404,21710508969,17682733481,4027775488,147.1807352,23.87910929,24.25768408
Bangladesh,1.77E+11,10.02675869,24979127204,35852492144,-10873364940,35.63048168,25.64496469,24.59455479
Barbados,4396586809,2.85559694,1726414124,2014022642,-287608517.7,85.60305492,22.18870932,22.02859303
Belarus,49170918318,9.026677111,31169943922,31844931531,-674987608.9,129.3136455,24.48348495,24.73608195
Belgium,4.55E+11,4.273489749,3.60E+11,3.53E+11,7291304348,154.3546711,26.81077572,27.24096832
Belize,1863394862,4.289469194,922553741.2,918233834,4319907.13,98.30412044,21.31435132,21.29451926
Benin,10291217848,7.543810402,2426224898,2950591865,-524366966.8,50.50984451,22.95715544,22.26229839
Bermuda,6100021739,3.612173153,3083564409,1481114323,1602450086,74.81225949,22.50609493,22.21559192
Bhutan,1510240200,6.699174806,552420760.2,870361773.6,-317941013.4,94.91571596,20.99344151,20.9298702
Bolivia,23892558356,7.701387653,7715201299,7909463334,-194262034.5,64.90215076,23.72230496,23.2689624
Bosnia and Herzegovina,15841204788,7.134416515,5267667467,8787206141,-3519538674,87.26219388,23.40941867,23.26975431
Botswana,12537554693,6.299263792,5914662064,6000984026,-86321962.57,94.68605998,23.18743196,23.12527004
Brazil,1.58E+12,6.062422654,2.13E+11,2.17E+11,-3543396919,27.32551416,27.97365298,26.66551541
British Virgin Islands,0,0,0,0,0,,0,0
Brunei Darussalam,12300565328,5.721774676,8233301315,4781395355,3451905960,104.9656279,23.17189821,23.21150824
Bulgaria,48916604303,9.16358341,28152455822,29597669224,-1445213402,111.3466709,24.4917957,24.58258917
Burkina Faso,10814346574,8.7841203,2243681205,3202684620,-959003415.1,46.44309932,22.96682016,22.16672607
Burundi,1973301126,6.006054179,134854076.9,507335641,-372481564.1,32.47408874,21.30259835,20.14175072
Cabo Verde,1617868877,7.348960365,581874804.4,923900670.7,-342025866.3,93.99855308,21.11372879,21.04686936
Cambodia,14331796583,9.732566425,8913045684,9556730638,-643684953.1,126.7320674,23.18394853,23.41653728
Cameroon,28667840100,6.756371483,6039924388,6713420578,-673496190.3,45.38481316,23.99857786,23.20067142
Canada,1.48E+12,5.085677394,4.84E+11,4.85E+11,-582652173.9,66.89080296,27.97534754,27.56987074
Cayman Islands,4816765171,0.216716077,3307958767,2170513335,1137445432,113.7542339,22.28979469,22.41850526
Central African Republic,1815604155,4.847897671,261699231.6,504403770.5,-242704538.9,41.74258888,21.27366243,20.38314874
Chad,8938218416,11.51385568,3302678713,3729562512,-426883798.8,79.86494384,22.74464972,22.50424211
Chile,2.04E+11,6.706007948,68606165936,64568152299,4038013637,65.87830067,25.93084093,25.50798184
China,7.89E+12,12.74521149,1.77E+12,1.55E+12,2.14E+11,46.2041128,29.36867906,28.57704854
Colombia,2.49E+11,6.322990787,41828149680,52304804595,-10476654915,37.19149608,26.13900935,25.14644803
Comoros,900941095.3,5.995386614,89448938.31,261621478.4,-172172540.1,38.28559317,20.55559707,19.59182132
"Congo, Dem. Rep.",28518689515,7.041018623,9268638856,10446674355,-1178035500,63.69306281,23.89512094,23.38489584
"Congo, Rep.",10545903616,8.591860995,6747669231,5611806548,1135862683,121.9315152,22.93864865,23.12812155
Costa Rica,41012784171,6.979973923,14330300705,14590745783,-260445078.6,74.05412572,24.30960327,24.00014531
Cote d'Ivoire,39641410894,6.683907413,10907492121,10439561522,467930598.7,55.8483755,24.30774167,23.71489546
Croatia,52579989557,5.742028963,22188555614,24268853344,-2080297730,86.93074942,24.63939851,24.49052522
Cuba,65483366975,3.997045789,11878198218,10960362890,917835327.5,35.58394152,24.83283209,23.74789566
Curacao,2938579843,0.100330246,1939699417,2557370111,-617670694,153.0035463,21.8003404,22.22322316
Cyprus,21865723009,2.559400673,14224294382,14519179760,-294885378.4,130.2575272,23.76568695,24.0169478
Czechia,1.89E+11,7.501208572,1.32E+11,1.25E+11,7340593715,130.4069265,25.88658899,26.13921242
Denmark,3.05E+11,4.192111456,1.63E+11,1.44E+11,19234133251,98.60897896,26.41339375,26.39302993
Djibouti,1705136119,8.741126228,2452362707,2384684820,67677886.4,284.9036586,21.05145427,22.094009
Dominica,470271014.5,2.892311495,179894692.9,273294322.2,-93399629.21,96.02830651,19.94989502,19.90636659
Dominican Republic,57621961327,7.760431499,14175885334,18309301653,-4133416319,59.9853745,24.66695181,24.14213025
Ecuador,72925270212,8.641539274,18863369919,19448052006,-584682087.7,53.43427591,24.88793856,24.2499868
"Egypt, Arab Rep.",2.27E+11,7.753376152,39214205034,55587560062,-16373355029,45.50959753,25.99469356,25.17774425
El Salvador,20177464117,4.610408106,5609680591,9555001222,-3945320630,74.09043328,23.68642227,23.38362398
Equatorial Guinea,12017736501,14.81905547,8291674486,5221799901,3069874585,111.5436372,22.94125591,23.04345987
Eritrea,1223860748,3.581421227,99588313.15,523313883,-423725569.8,53.36981263,20.89413528,20.2355524
Estonia,21680263577,9.363860114,16100269942,16010700712,89569230.83,143.6152207,23.68157828,24.03747793
Eswatini,3680882520,5.484792994,1816120118,1953145850,-137025731.8,110.4345057,21.96904335,22.03502938
Ethiopia,48042296916,13.18687295,4386617140,11151865765,-6765248624,34.69909325,24.217862,23.14561998
Faroe Islands,2374113479,4.235835954,1191878669,1283915070,-92036400.6,104.0344613,21.53784048,21.57589794
Fiji,3725471375,5.355012848,1857618549,2240782488,-383163938.6,113.3481592,21.97810589,22.09239207
